identifier,code,length,width
00972d6838ec720c,41124,161.76,58.82
00972d6838ec720c,41125,176.47,73.53
00972d6838ec720c,41126,158.82,52.94
00972d6838ec720c,41127,228.0,84.0
00972d6838ec720c,41128,236.0,88.0
00972d6838ec720c,41129,185.29,55.88
00972d6838ec720c,41130,155.88,50.0
00972d6838ec720c,41131,248.0,104.0
03be2aa78c116062,41124,163.2,60.5
03be2aa78c116062,41125,160.5,71.1
03be2aa78c116062,41126,196.7,66.7
03be2aa78c116062,41127,221.1,83.3
03be2aa78c116062,41128,223.3,86.6
03be2aa78c116062,41129,171.1,55.3
03be2aa78c116062,41130,164.7,58.8
03be2aa78c116062,41131,233.3,93.3
0553984b9325ad28,41124,164.29,61.9
0553984b9325ad28,41125,156.82,70.45
0553984b9325ad28,41126,182.35,64.71
0553984b9325ad28,41127,208.57,81.43
0553984b9325ad28,41128,226.67,86.67
0553984b9325ad28,41129,176.19,57.14
0553984b9325ad28,41130,165.79,59.21
0553984b9325ad28,41131,217.14,91.43
059f2756e54baf6f,41124,158.0,59.5
059f2756e54baf6f,41125,184.0,69.7
059f2756e54baf6f,41126,180.0,65.0
059f2756e54baf6f,41127,217.0,85.0
059f2756e54baf6f,41128,345.0,96.7
059f2756e54baf6f,41129,185.0,58.1
059f2756e54baf6f,41130,246.0,54.4
059f2756e54baf6f,41131,232.0,95.0
0c0cef7c201130e6,41124,168.75,60.42
0c0cef7c201130e6,41125,159.62,71.15
0c0cef7c201130e6,41126,182.5,65.0
0c0cef7c201130e6,41127,207.5,82.5
0c0cef7c201130e6,41128,210.0,87.5
0c0cef7c201130e6,41129,175.56,55.56
0c0cef7c201130e6,41130,163.64,56.82
0c0cef7c201130e6,41131,226.67,95.56
0c6bfea732f8b00a,41124,160.29,60.29
0c6bfea732f8b00a,41125,160.0,70.0
0c6bfea732f8b00a,41126,181.65,68.74
0c6bfea732f8b00a,41127,233.33,83.33
0c6bfea732f8b00a,41128,214.29,85.71
0c6bfea732f8b00a,41129,183.33,66.67
0c6bfea732f8b00a,41130,164.71,58.82
0c6bfea732f8b00a,41131,188.89,58.33
17673c0d2ee5ebde,41124,150.0,66.0
17673c0d2ee5ebde,41125,170.0,70.0
17673c0d2ee5ebde,41126,190.0,70.0
